trial,stimWord,stimColor,condition,leftWord,leftColor,rightWord,rightColor,response,stimImage,leftImage,rightImage
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,19.png,17.png,30.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,19.png,18.png,21.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,27.png,31.png,30.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,27.png,25.png,18.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,24.png,17.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,27.png,22.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,29.png,25.png,30.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,29.png,24.png,21.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,27.png,22.png,23.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,18.png,25.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,27.png,18.png,23.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,25.png,20.png,27.png
,ANGRY,white,happy,HAPPY,white,ANGRY,white,buttonA,19.png,29.png,26.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,20.png,25.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,19.png,32.png,29.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,32.png,19.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,30.png,23.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,19.png,27.png,32.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,27.png,23.png,22.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,31.png,32.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,28.png,17.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,29.png,26.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,29.png,31.png,24.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,29.png,24.png,27.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,32.png,29.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,26.png,17.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,17.png,18.png,19.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,25.png,28.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,31.png,19.png,32.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,24.png,17.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,21.png,25.png,28.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,29.png,22.png,31.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,23.png,19.png,22.png
,ANGRY,white,happy,ANGRY,white,HAPPY,white,buttonB,25.png,31.png,18.png
